Driver,Compound,DegradationPerLap,ValidLaps
PIA,MEDIUM,-0.4253,15
NOR,MEDIUM,-0.3915,14
RUS,MEDIUM,-0.332,11
OCO,MEDIUM,-0.277,21
VER,HARD,-0.2356,23
LAW,MEDIUM,-0.2323,26
ALO,HARD,-0.1867,30
ALB,HARD,-0.1593,35
ALB,MEDIUM,-0.1213,33
SAI,HARD,-0.1007,43
HAM,HARD,-0.0614,49
LEC,MEDIUM,-0.0526,45
LEC,HARD,-0.0401,25
TSU,HARD,-0.0346,68
HUL,SOFT,-0.0241,31
COL,MEDIUM,-0.0215,60
BEA,MEDIUM,-0.0209,58
HAM,MEDIUM,-0.0139,21
ANT,HARD,-0.0138,67
NOR,HARD,-0.0031,56
BOR,MEDIUM,-0.0009,40
SAI,MEDIUM,0.0046,25
STR,HARD,0.005,57
RUS,HARD,0.0095,55
HAD,HARD,0.0123,57
PIA,HARD,0.0204,55
OCO,HARD,0.0229,48
VER,MEDIUM,0.0259,47
HUL,HARD,0.0316,30
LAW,HARD,0.0462,36
BOR,HARD,0.0898,21
STR,MEDIUM,0.235,11
BEA,HARD,0.4692,12
