Driver,DriverNumber,LapNumber,LapTime,Stint,Compound,TyreLife,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,TrackStatus,IsAccurate
ALB,23,5.0,0 days 00:01:20.465000,1.0,MEDIUM,9.0,,,0 days 00:00:21.014000,0 days 00:00:38.074000,0 days 00:00:21.377000,10.0,1,True
ALB,23,6.0,0 days 00:01:21.426000,1.0,MEDIUM,10.0,,,0 days 00:00:21.354000,0 days 00:00:38.432000,0 days 00:00:21.640000,10.0,1,True
ALB,23,7.0,0 days 00:01:21.287000,1.0,MEDIUM,11.0,,,0 days 00:00:21.272000,0 days 00:00:38.715000,0 days 00:00:21.300000,10.0,1,True
ALB,23,8.0,0 days 00:01:20.471000,1.0,MEDIUM,12.0,,,0 days 00:00:21.348000,0 days 00:00:37.673000,0 days 00:00:21.450000,10.0,12,True
ALB,23,9.0,0 days 00:01:24.151000,1.0,MEDIUM,13.0,,,0 days 00:00:21.405000,0 days 00:00:40.877000,0 days 00:00:21.869000,10.0,2,True
ALB,23,10.0,0 days 00:01:21.528000,1.0,MEDIUM,14.0,,,0 days 00:00:21.435000,0 days 00:00:38.773000,0 days 00:00:21.320000,10.0,2,True
ALB,23,11.0,0 days 00:01:19.447000,1.0,MEDIUM,15.0,,,0 days 00:00:21.057000,0 days 00:00:37.217000,0 days 00:00:21.173000,10.0,21,True
ALB,23,12.0,0 days 00:01:19.660000,1.0,MEDIUM,16.0,,,0 days 00:00:21.127000,0 days 00:00:37.603000,0 days 00:00:20.930000,10.0,1,True
ALB,23,13.0,0 days 00:01:19.244000,1.0,MEDIUM,17.0,,,0 days 00:00:21.144000,0 days 00:00:37.200000,0 days 00:00:20.900000,10.0,1,True
ALB,23,14.0,0 days 00:01:19.817000,1.0,MEDIUM,18.0,,,0 days 00:00:21.334000,0 days 00:00:37.341000,0 days 00:00:21.142000,10.0,1,True
ALB,23,15.0,0 days 00:01:20.143000,1.0,MEDIUM,19.0,,,0 days 00:00:20.872000,0 days 00:00:37.708000,0 days 00:00:21.563000,10.0,1,True
ALB,23,16.0,0 days 00:01:20.692000,1.0,MEDIUM,20.0,,,0 days 00:00:21.145000,0 days 00:00:38.161000,0 days 00:00:21.386000,10.0,1,True
ALB,23,17.0,0 days 00:01:20.978000,1.0,MEDIUM,21.0,,,0 days 00:00:21.574000,0 days 00:00:38.014000,0 days 00:00:21.390000,10.0,1,True
ALB,23,18.0,0 days 00:01:20.235000,1.0,MEDIUM,22.0,,,0 days 00:00:21.198000,0 days 00:00:37.628000,0 days 00:00:21.409000,10.0,1,True
ALB,23,19.0,0 days 00:01:19.279000,1.0,MEDIUM,23.0,,,0 days 00:00:21.045000,0 days 00:00:37.003000,0 days 00:00:21.231000,10.0,1,True
ALB,23,20.0,0 days 00:01:17.928000,1.0,MEDIUM,24.0,,,0 days 00:00:20.723000,0 days 00:00:36.668000,0 days 00:00:20.537000,10.0,1,True
ALB,23,21.0,0 days 00:01:17.096000,1.0,MEDIUM,25.0,,,0 days 00:00:20.289000,0 days 00:00:36.265000,0 days 00:00:20.542000,10.0,1,True
ALB,23,22.0,0 days 00:01:17.001000,1.0,MEDIUM,26.0,,,0 days 00:00:20.270000,0 days 00:00:36.252000,0 days 00:00:20.479000,10.0,1,True
ALB,23,23.0,0 days 00:01:16.556000,1.0,MEDIUM,27.0,,,0 days 00:00:20.223000,0 days 00:00:36.046000,0 days 00:00:20.287000,10.0,1,True
ALB,23,24.0,0 days 00:01:16.954000,1.0,MEDIUM,28.0,,,0 days 00:00:20.329000,0 days 00:00:36.173000,0 days 00:00:20.452000,10.0,1,True
ALB,23,25.0,0 days 00:01:17.653000,1.0,MEDIUM,29.0,,,0 days 00:00:20.319000,0 days 00:00:36.620000,0 days 00:00:20.714000,10.0,1,True
ALB,23,26.0,0 days 00:01:17.264000,1.0,MEDIUM,30.0,,,0 days 00:00:20.321000,0 days 00:00:36.319000,0 days 00:00:20.624000,10.0,1,True
ALB,23,27.0,0 days 00:01:17.185000,1.0,MEDIUM,31.0,,,0 days 00:00:20.491000,0 days 00:00:36.250000,0 days 00:00:20.444000,10.0,1,True
ALB,23,28.0,0 days 00:01:16.701000,1.0,MEDIUM,32.0,,,0 days 00:00:20.151000,0 days 00:00:36.150000,0 days 00:00:20.400000,9.0,1,True
ALB,23,29.0,0 days 00:01:16.969000,1.0,MEDIUM,33.0,,,0 days 00:00:20.264000,0 days 00:00:36.280000,0 days 00:00:20.425000,9.0,1,True
ALB,23,30.0,0 days 00:01:16.888000,1.0,MEDIUM,34.0,,,0 days 00:00:20.317000,0 days 00:00:36.201000,0 days 00:00:20.370000,9.0,1,True
ALB,23,31.0,0 days 00:01:16.870000,1.0,MEDIUM,35.0,,,0 days 00:00:20.215000,0 days 00:00:36.160000,0 days 00:00:20.495000,8.0,1,True
ALB,23,34.0,0 days 00:01:20.232000,2.0,MEDIUM,10.0,,,0 days 00:00:21.639000,0 days 00:00:38.239000,0 days 00:00:20.354000,10.0,1,True
ALB,23,35.0,0 days 00:01:16.381000,2.0,MEDIUM,11.0,,,0 days 00:00:20.045000,0 days 00:00:35.979000,0 days 00:00:20.357000,10.0,1,True
ALB,23,36.0,0 days 00:01:16.185000,2.0,MEDIUM,12.0,,,0 days 00:00:20.043000,0 days 00:00:35.854000,0 days 00:00:20.288000,10.0,1,True
ALB,23,37.0,0 days 00:01:16.153000,2.0,MEDIUM,13.0,,,0 days 00:00:20.065000,0 days 00:00:35.843000,0 days 00:00:20.245000,9.0,12,True
ALB,23,38.0,0 days 00:01:15.529000,2.0,MEDIUM,14.0,,,0 days 00:00:19.849000,0 days 00:00:35.636000,0 days 00:00:20.044000,9.0,1,True
ALB,23,39.0,0 days 00:01:15.303000,2.0,MEDIUM,15.0,,,0 days 00:00:19.878000,0 days 00:00:35.511000,0 days 00:00:19.914000,9.0,1,True
ALB,23,42.0,0 days 00:01:18.819000,3.0,HARD,2.0,,,0 days 00:00:20.163000,0 days 00:00:38.224000,0 days 00:00:20.432000,10.0,1,True
ALB,23,43.0,0 days 00:01:18.638000,3.0,HARD,3.0,,,0 days 00:00:20.484000,0 days 00:00:37.232000,0 days 00:00:20.922000,10.0,1,True
ALB,23,44.0,0 days 00:01:19.225000,3.0,HARD,4.0,,,0 days 00:00:20.384000,0 days 00:00:37.633000,0 days 00:00:21.208000,10.0,1,True
ALB,23,45.0,0 days 00:01:19.224000,3.0,HARD,5.0,,,0 days 00:00:20.454000,0 days 00:00:37.614000,0 days 00:00:21.156000,10.0,1,True
ALB,23,46.0,0 days 00:01:19.332000,3.0,HARD,6.0,,,0 days 00:00:20.746000,0 days 00:00:37.549000,0 days 00:00:21.037000,10.0,1,True
ALB,23,47.0,0 days 00:01:19.173000,3.0,HARD,7.0,,,0 days 00:00:20.762000,0 days 00:00:37.595000,0 days 00:00:20.816000,10.0,1,True
ALB,23,48.0,0 days 00:01:20.193000,3.0,HARD,8.0,,,0 days 00:00:21.133000,0 days 00:00:38.049000,0 days 00:00:21.011000,11.0,1,True
ALB,23,49.0,0 days 00:01:18.234000,3.0,HARD,9.0,,,0 days 00:00:20.281000,0 days 00:00:37.284000,0 days 00:00:20.669000,11.0,1,True
ALB,23,50.0,0 days 00:01:19.166000,3.0,HARD,10.0,,,0 days 00:00:20.683000,0 days 00:00:37.742000,0 days 00:00:20.741000,11.0,1,True
ALB,23,51.0,0 days 00:01:19.828000,3.0,HARD,11.0,,,0 days 00:00:20.371000,0 days 00:00:38.125000,0 days 00:00:21.332000,11.0,1,True
ALB,23,52.0,0 days 00:01:20.130000,3.0,HARD,12.0,,,0 days 00:00:21.241000,0 days 00:00:37.434000,0 days 00:00:21.455000,11.0,1,True
ALB,23,53.0,0 days 00:01:19.403000,3.0,HARD,13.0,,,0 days 00:00:20.534000,0 days 00:00:38.232000,0 days 00:00:20.637000,11.0,1,True
ALB,23,54.0,0 days 00:01:17.389000,3.0,HARD,14.0,,,0 days 00:00:20.284000,0 days 00:00:36.770000,0 days 00:00:20.335000,11.0,1,True
ALB,23,55.0,0 days 00:01:17.086000,3.0,HARD,15.0,,,0 days 00:00:19.954000,0 days 00:00:36.167000,0 days 00:00:20.965000,11.0,1,True
ALB,23,56.0,0 days 00:01:19.159000,3.0,HARD,16.0,,,0 days 00:00:20.769000,0 days 00:00:37.237000,0 days 00:00:21.153000,11.0,1,True
ALB,23,57.0,0 days 00:01:16.136000,3.0,HARD,17.0,,,0 days 00:00:20.201000,0 days 00:00:35.774000,0 days 00:00:20.161000,11.0,1,True
ALB,23,58.0,0 days 00:01:15.795000,3.0,HARD,18.0,,,0 days 00:00:19.882000,0 days 00:00:35.922000,0 days 00:00:19.991000,11.0,1,True
ALB,23,59.0,0 days 00:01:15.509000,3.0,HARD,19.0,,,0 days 00:00:19.804000,0 days 00:00:35.693000,0 days 00:00:20.012000,11.0,1,True
ALB,23,60.0,0 days 00:01:15.726000,3.0,HARD,20.0,,,0 days 00:00:19.751000,0 days 00:00:35.816000,0 days 00:00:20.159000,11.0,1,True
ALB,23,61.0,0 days 00:01:16.046000,3.0,HARD,21.0,,,0 days 00:00:19.846000,0 days 00:00:36.049000,0 days 00:00:20.151000,11.0,1,True
ALB,23,62.0,0 days 00:01:16.370000,3.0,HARD,22.0,,,0 days 00:00:19.869000,0 days 00:00:36.111000,0 days 00:00:20.390000,10.0,1,True
ALB,23,63.0,0 days 00:01:15.082000,3.0,HARD,23.0,,,0 days 00:00:19.698000,0 days 00:00:35.392000,0 days 00:00:19.992000,10.0,1,True
ALB,23,64.0,0 days 00:01:16.228000,3.0,HARD,24.0,,,0 days 00:00:19.935000,0 days 00:00:36.166000,0 days 00:00:20.127000,9.0,1,True
ALB,23,65.0,0 days 00:01:15.156000,3.0,HARD,25.0,,,0 days 00:00:19.780000,0 days 00:00:35.529000,0 days 00:00:19.847000,9.0,1,True
ALB,23,66.0,0 days 00:01:14.870000,3.0,HARD,26.0,,,0 days 00:00:19.750000,0 days 00:00:35.383000,0 days 00:00:19.737000,9.0,1,True
ALB,23,67.0,0 days 00:01:14.928000,3.0,HARD,27.0,,,0 days 00:00:19.653000,0 days 00:00:35.443000,0 days 00:00:19.832000,9.0,1,True
ALB,23,68.0,0 days 00:01:14.885000,3.0,HARD,28.0,,,0 days 00:00:19.623000,0 days 00:00:35.498000,0 days 00:00:19.764000,9.0,1,True
ALB,23,69.0,0 days 00:01:16.790000,3.0,HARD,29.0,,,0 days 00:00:19.819000,0 days 00:00:36.448000,0 days 00:00:20.523000,9.0,1,True
ALB,23,70.0,0 days 00:01:16.010000,3.0,HARD,30.0,,,0 days 00:00:20.001000,0 days 00:00:35.800000,0 days 00:00:20.209000,9.0,1,True
ALB,23,71.0,0 days 00:01:15.751000,3.0,HARD,31.0,,,0 days 00:00:19.777000,0 days 00:00:35.793000,0 days 00:00:20.181000,9.0,1,True
ALB,23,72.0,0 days 00:01:15.870000,3.0,HARD,32.0,,,0 days 00:00:19.934000,0 days 00:00:35.768000,0 days 00:00:20.168000,9.0,1,True
ALB,23,73.0,0 days 00:01:15.150000,3.0,HARD,33.0,,,0 days 00:00:19.815000,0 days 00:00:35.545000,0 days 00:00:19.790000,9.0,1,True
ALB,23,74.0,0 days 00:01:14.597000,3.0,HARD,34.0,,,0 days 00:00:19.592000,0 days 00:00:35.332000,0 days 00:00:19.673000,9.0,1,True
ALB,23,75.0,0 days 00:01:14.600000,3.0,HARD,35.0,,,0 days 00:00:19.565000,0 days 00:00:35.364000,0 days 00:00:19.671000,9.0,1,True
ALB,23,76.0,0 days 00:01:14.776000,3.0,HARD,36.0,,,0 days 00:00:19.564000,0 days 00:00:35.374000,0 days 00:00:19.838000,9.0,1,True
ALO,14,5.0,0 days 00:01:20.940000,1.0,HARD,6.0,,,0 days 00:00:21.215000,0 days 00:00:38.446000,0 days 00:00:21.279000,6.0,1,True
ALO,14,6.0,0 days 00:01:20.424000,1.0,HARD,7.0,,,0 days 00:00:21.360000,0 days 00:00:38.050000,0 days 00:00:21.014000,6.0,1,True
ALO,14,7.0,0 days 00:01:20.222000,1.0,HARD,8.0,,,0 days 00:00:21.210000,0 days 00:00:37.915000,0 days 00:00:21.097000,6.0,1,True
ALO,14,8.0,0 days 00:01:19.105000,1.0,HARD,9.0,,,0 days 00:00:20.807000,0 days 00:00:37.418000,0 days 00:00:20.880000,6.0,12,True
ALO,14,9.0,0 days 00:01:22.183000,1.0,HARD,10.0,,,0 days 00:00:20.318000,0 days 00:00:40.954000,0 days 00:00:20.911000,6.0,2,True
ALO,14,10.0,0 days 00:01:20.167000,1.0,HARD,11.0,,,0 days 00:00:20.298000,0 days 00:00:39.123000,0 days 00:00:20.746000,6.0,2,True
ALO,14,11.0,0 days 00:01:17.469000,1.0,HARD,12.0,,,0 days 00:00:20.465000,0 days 00:00:36.583000,0 days 00:00:20.421000,6.0,21,True
ALO,14,12.0,0 days 00:01:17.319000,1.0,HARD,13.0,,,0 days 00:00:20.378000,0 days 00:00:36.539000,0 days 00:00:20.402000,6.0,1,True
ALO,14,13.0,0 days 00:01:16.411000,1.0,HARD,14.0,,,0 days 00:00:20.107000,0 days 00:00:36.105000,0 days 00:00:20.199000,6.0,1,True
ALO,14,14.0,0 days 00:01:16.295000,1.0,HARD,15.0,,,0 days 00:00:20.050000,0 days 00:00:35.994000,0 days 00:00:20.251000,5.0,1,True
ALO,14,15.0,0 days 00:01:15.593000,1.0,HARD,16.0,,,0 days 00:00:19.849000,0 days 00:00:35.665000,0 days 00:00:20.079000,5.0,1,True
ALO,14,18.0,0 days 00:01:16.840000,2.0,HARD,3.0,,,0 days 00:00:20.136000,0 days 00:00:36.258000,0 days 00:00:20.446000,7.0,1,True
ALO,14,19.0,0 days 00:01:17.226000,2.0,HARD,4.0,,,0 days 00:00:20.330000,0 days 00:00:36.465000,0 days 00:00:20.431000,6.0,1,True
ALO,14,20.0,0 days 00:01:17.267000,2.0,HARD,5.0,,,0 days 00:00:20.228000,0 days 00:00:36.520000,0 days 00:00:20.519000,6.0,1,True
ALO,14,21.0,0 days 00:01:17.921000,2.0,HARD,6.0,,,0 days 00:00:20.283000,0 days 00:00:36.918000,0 days 00:00:20.720000,6.0,1,True
ALO,14,22.0,0 days 00:01:18.938000,2.0,HARD,7.0,,,0 days 00:00:20.880000,0 days 00:00:37.036000,0 days 00:00:21.022000,6.0,1,True
ALO,14,23.0,0 days 00:01:17.947000,2.0,HARD,8.0,,,0 days 00:00:20.610000,0 days 00:00:36.735000,0 days 00:00:20.602000,6.0,1,True
ALO,14,24.0,0 days 00:01:17.748000,2.0,HARD,9.0,,,0 days 00:00:20.681000,0 days 00:00:36.586000,0 days 00:00:20.481000,6.0,1,True
ALO,14,25.0,0 days 00:01:17.685000,2.0,HARD,10.0,,,0 days 00:00:20.514000,0 days 00:00:36.740000,0 days 00:00:20.431000,6.0,1,True
ALO,14,26.0,0 days 00:01:16.293000,2.0,HARD,11.0,,,0 days 00:00:19.940000,0 days 00:00:36.112000,0 days 00:00:20.241000,6.0,1,True
ALO,14,27.0,0 days 00:01:16.744000,2.0,HARD,12.0,,,0 days 00:00:20.041000,0 days 00:00:36.452000,0 days 00:00:20.251000,6.0,1,True
ALO,14,28.0,0 days 00:01:16.414000,2.0,HARD,13.0,,,0 days 00:00:20.113000,0 days 00:00:36.177000,0 days 00:00:20.124000,6.0,1,True
