Driver,Compound,AverageLapTime,AverageTyreLife,ValidLaps
ALB,HARD,77.008,19.0,35
ALB,MEDIUM,78.596,20.3,33
ALO,HARD,77.612,11.6,30
ANT,HARD,78.903,35.0,67
BEA,HARD,78.094,9.5,12
BEA,MEDIUM,78.139,30.5,58
BOR,HARD,78.053,14.0,21
BOR,MEDIUM,78.044,21.5,40
BOR,SOFT,77.553,5.0,7
COL,HARD,80.904,8.5,8
COL,MEDIUM,77.985,23.8,60
GAS,MEDIUM,78.727,5.0,3
HAD,HARD,77.325,31.0,57
HAD,MEDIUM,79.131,9.0,9
HAD,SOFT,76.515,6.0,3
HAM,HARD,76.379,18.0,49
HAM,MEDIUM,75.853,15.0,21
HUL,HARD,78.583,16.5,30
HUL,MEDIUM,81.136,8.0,7
HUL,SOFT,78.072,17.0,31
LAW,HARD,76.461,20.5,36
LAW,MEDIUM,79.101,17.5,26
LAW,SOFT,76.94,8.0,7
LEC,HARD,74.797,14.0,25
LEC,MEDIUM,76.137,16.4,45
NOR,HARD,75.202,15.5,56
NOR,MEDIUM,77.468,11.5,14
OCO,HARD,77.204,25.5,48
OCO,MEDIUM,78.141,10.2,21
PIA,HARD,75.123,15.3,55
PIA,MEDIUM,77.538,12.0,15
RUS,HARD,78.464,25.5,55
RUS,MEDIUM,75.593,7.7,11
SAI,HARD,79.037,26.0,43
SAI,MEDIUM,75.891,18.4,25
STR,HARD,78.983,22.2,57
STR,MEDIUM,76.017,8.0,11
TSU,HARD,78.86,37.5,68
TSU,MEDIUM,75.399,2.5,2
VER,HARD,76.902,16.0,23
VER,MEDIUM,75.338,25.0,47
